Team,Status,Team rating,CB,LB,RB,ST,CM,AM,LM,DM,LW,RW,RM,Rival team rating,CBr,LBr,RBr,STr,CMr,AMr,LMr,DMr,LWr,RWr,RMr,Result,Round,Team_encoded,Status_encoded
Fulham,Guest,6.3,2,1,1,1,0,1,0,2,1,1,0,7.5,2,1,1,1,0,1,0,2,1,1,0,Lost,9,9,0
Crystal palace,Home,6.3,2,1,1,2,2,0,1,0,0,0,1,7.2,2,1,1,1,0,1,0,2,1,1,0,Lost,10,7,1
Tottenham,Guest,7.2,2,1,1,1,0,1,0,2,1,1,0,6.3,2,1,1,2,2,0,1,0,0,0,1,Win,10,17,0
Chelsea,Home,6.9,2,1,1,1,0,1,0,2,1,1,0,7.3,3,0,0,2,3,0,1,0,0,0,1,Lost,10,6,1
Brentford,Guest,7.3,3,0,0,2,3,0,1,0,0,0,1,6.9,2,1,1,1,0,1,0,2,1,1,0,Win,10,3,0
Bournemouth,Home,7.3,3,0,0,1,2,2,1,0,0,0,1,6.4,2,1,1,1,3,0,0,0,1,1,0,Win,10,2,1
Burnley,Guest,6.4,2,1,1,1,3,0,0,0,1,1,0,7.3,3,0,0,1,2,2,1,0,0,0,1,Lost,10,5,0
Arsenal,Home,7.4,2,1,1,1,3,0,0,0,1,1,0,6.0,2,1,1,1,3,0,1,0,0,0,1,Win,10,0,1
Sheffiled utd,Guest,6.0,2,1,1,1,3,0,1,0,0,0,1,7.4,2,1,1,1,3,0,0,0,1,1,0,Lost,10,16,0
Wolves,Home,7.2,2,1,1,2,2,0,1,0,0,0,1,6.8,2,1,1,1,3,0,0,0,1,1,0,Draw,10,19,1
Newcatle,Guest,6.8,2,1,1,1,3,0,0,0,1,1,0,7.2,2,1,1,2,2,0,1,0,0,0,1,Draw,10,14,0
West ham,Home,6.6,2,1,1,1,0,1,0,2,1,1,0,7.6,2,1,1,1,2,1,1,0,0,0,1,Lost,10,18,1
Everton,Guest,7.6,2,1,1,1,2,1,1,0,0,0,1,6.6,2,1,1,1,0,1,0,2,1,1,0,Win,10,8,0
Aston Villa,Home,7.1,2,1,1,2,2,0,1,0,0,0,1,6.1,3,1,1,2,3,0,0,0,0,0,0,Win,10,1,1
Luton,Guest,6.1,3,1,1,2,3,0,0,0,0,0,0,7.1,2,1,1,2,2,0,1,0,0,0,1,Lost,10,11,0
Brighton,Home,6.9,3,0,0,1,0,2,0,2,1,1,0,7.0,2,1,1,1,0,1,0,2,1,1,0,Draw,10,4,1
Fulham,Guest,7.0,2,1,1,1,0,1,0,2,1,1,0,6.9,3,0,0,1,0,2,0,2,1,1,0,Draw,10,9,0
Liverpool,Home,7.4,2,1,1,1,3,0,0,0,1,1,0,6.3,3,1,1,1,2,0,1,0,0,0,1,Win,10,10,1
Nottm forest,Guest,6.3,3,1,1,1,2,0,1,0,0,0,1,7.4,2,1,1,1,3,0,0,0,1,1,0,Lost,10,15,0
Man utd,Home,6.4,2,1,1,1,0,1,0,2,1,1,0,8.0,3,0,0,1,0,2,0,2,1,1,0,Lost,10,13,1
Man city,Guest,8.0,3,0,0,1,0,2,0,2,1,1,0,6.4,2,1,1,1,0,1,0,2,1,1,0,Win,10,12,0
Fulham,Home,6.8,2,1,1,1,0,1,0,2,1,1,0,7.2,2,1,1,1,0,1,0,2,1,1,0,Lost,11,9,1
Man utd,Guest,7.2,2,1,1,1,0,1,0,2,1,1,0,6.8,2,1,1,1,0,1,0,2,1,1,0,Win,11,13,0
Brentford,Home,7.0,2,1,1,1,3,0,0,0,1,1,0,6.4,2,1,1,2,2,0,1,0,0,0,1,Win,11,3,1
West ham,Guest,6.4,2,1,1,2,2,0,1,0,0,0,1,7.0,2,1,1,1,3,0,0,0,1,1,0,Lost,11,18,0
Burnley,Home,6.5,2,1,1,2,2,0,1,0,0,0,1,7.2,2,1,1,1,0,1,0,2,1,1,0,Lost,11,5,1
Crystal palace,Guest,7.2,2,1,1,1,0,1,0,2,1,1,0,6.5,2,1,1,2,2,0,1,0,0,0,1,Win,11,7,0
Everton,Home,6.8,2,1,1,1,2,1,1,0,0,0,1,6.6,2,1,1,1,3,0,0,0,1,1,0,Draw,11,8,1
Brighton,Guest,6.6,2,1,1,1,3,0,0,0,1,1,0,6.8,2,1,1,1,2,1,1,0,0,0,1,Draw,11,4,0
Man city,Home,7.4,3,0,0,1,0,2,0,2,1,1,0,5.7,3,1,1,1,2,0,1,0,0,0,1,Win,11,12,1
Bournemouth,Guest,5.7,3,1,1,1,2,0,1,0,0,0,1,7.4,3,0,0,1,0,2,0,2,1,1,0,Lost,11,2,0
Sheffiled utd,Home,7.1,3,0,0,2,2,1,1,0,0,0,1,6.8,3,0,0,1,2,0,1,0,1,1,1,Win,11,16,1
Wolves,Guest,6.8,3,0,0,1,2,0,1,0,1,1,1,7.1,3,0,0,2,2,1,1,0,0,0,1,Lost,11,19,0
Newcatle,Home,7.0,2,1,1,1,3,0,0,0,1,1,0,6.6,2,1,1,1,3,0,0,0,1,1,0,Win,11,14,1
Arsenal,Guest,6.6,2,1,1,1,3,0,0,0,1,1,0,7.0,2,1,1,1,3,0,0,0,1,1,0,Lost,11,0,0
Nottm forest,Home,7.3,2,1,1,1,3,0,0,0,1,1,0,6.4,2,1,1,2,2,0,1,0,0,0,1,Win,11,15,1
Aston Villa,Guest,6.4,2,1,1,2,2,0,1,0,0,0,1,7.3,2,1,1,1,3,0,0,0,1,1,0,Lost,11,1,0
Luton,Home,7.1,3,0,0,1,2,2,1,0,0,0,1,7.0,2,1,1,1,3,0,0,0,1,1,0,Draw,11,11,1
Liverpool,Guest,7.0,2,1,1,1,3,0,0,0,1,1,0,7.1,3,0,0,1,2,2,1,0,0,0,1,Draw,11,10,0
Chelsea,Guest,6.5,2,1,1,1,0,1,0,2,1,1,0,7.5,2,1,1,1,0,1,0,2,1,1,0,Win,11,6,0
Tottenham,Home,7.5,2,1,1,1,0,1,0,2,1,1,0,6.5,2,1,1,1,0,1,0,2,1,1,0,Lost,11,17,1
Wolves,Home,7.2,3,0,0,2,3,0,1,0,0,0,1,6.6,2,1,1,1,3,0,0,0,1,1,0,Win,12,19,1
Tottenham,Guest,6.6,2,1,1,1,3,0,0,0,1,1,0,7.2,3,0,0,2,3,0,1,0,0,0,1,Lost,12,17,0
Arsenal,Home,7.4,2,1,1,1,3,0,0,0,1,1,0,6.2,2,1,1,2,2,0,1,0,0,0,1,Win,12,0,1
Burnley,Guest,6.2,2,1,1,2,2,0,1,0,0,0,1,7.4,2,1,1,1,3,0,0,0,1,1,0,Lost,12,5,0
Crystal palace,Home,6.7,2,1,1,1,0,1,0,2,1,1,0,7.2,2,1,1,1,2,1,1,0,0,0,1,Lost,12,7,1
Everton,Guest,7.2,2,1,1,1,2,1,1,0,0,0,1,6.7,2,1,1,1,0,1,0,2,1,1,0,Win,12,8,0
Man utd,Home,7.1,2,1,1,1,0,1,0,2,1,1,0,6.7,3,0,0,1,2,2,1,0,0,0,1,Win,12,13,1
Luton,Guest,6.7,3,0,0,1,2,2,1,0,0,0,1,7.1,2,1,1,1,0,1,0,2,1,1,0,Lost,12,11,0
Bournemouth,Home,7.5,2,1,1,1,0,1,0,2,1,1,0,6.5,2,1,1,1,3,0,0,0,1,1,0,Win,12,2,1
Newcatle,Guest,6.5,2,1,1,1,3,0,0,0,1,1,0,7.5,2,1,1,1,0,1,0,2,1,1,0,Lost,12,14,0
Aston Villa,Home,7.2,2,1,1,2,2,0,1,0,0,0,1,6.3,2,1,1,1,0,1,0,2,1,1,0,Win,12,1,1
Fulham,Guest,6.3,2,1,1,1,0,1,0,2,1,1,0,7.2,2,1,1,2,2,0,1,0,0,0,1,Lost,12,9,0
Brighton,Home,6.6,2,1,1,1,0,1,0,2,1,1,0,6.9,3,0,0,1,2,2,1,0,0,0,1,Draw,12,4,1
Sheffiled utd,Guest,6.9,3,0,0,1,2,2,1,0,0,0,1,6.6,2,1,1,1,0,1,0,2,1,1,0,Draw,12,16,0
Liverpool,Home,7.8,2,1,1,1,3,0,0,0,1,1,0,6.5,3,1,1,2,3,0,0,0,0,0,0,Win,12,10,1
Brentford,Guest,6.5,3,1,1,2,3,0,0,0,0,0,0,7.8,2,1,1,1,3,0,0,0,1,1,0,Lost,12,3,0
West ham,Home,7.3,2,1,1,1,0,1,0,2,1,1,0,6.5,2,1,1,1,3,0,0,0,1,1,0,Win,12,18,1
Nottm forest,Guest,6.5,2,1,1,1,3,0,0,0,1,1,0,7.3,2,1,1,1,0,1,0,2,1,1,0,Lost,12,15,0
Chelsea,Home,6.8,2,1,1,1,0,1,0,2,1,1,0,7.3,3,0,0,1,0,2,0,2,1,1,0,Draw,12,6,1
Man city,Guest,7.3,3,0,0,1,0,2,0,2,1,1,0,6.8,2,1,1,1,0,1,0,2,1,1,0,Draw,12,12,0
Fulham,Home,7.4,2,1,1,1,0,1,0,2,1,1,0,6.7,3,0,0,2,3,0,1,0,0,0,1,Win,13,9,1
Wolves,Guest,6.7,3,0,0,2,3,0,1,0,0,0,1,7.4,2,1,1,1,0,1,0,2,1,1,0,Lost,13,19,0
Everton,Home,6.4,2,1,1,1,2,1,1,0,0,0,1,7.5,2,1,1,1,0,1,0,2,1,1,0,Lost,13,8,1
Man utd,Guest,7.5,2,1,1,1,0,1,0,2,1,1,0,6.4,2,1,1,1,2,1,1,0,0,0,1,Win,13,13,0
Tottenham,Home,7.0,2,1,1,1,0,1,0,2,1,1,0,7.3,2,1,1,2,2,0,1,0,0,0,1,Lost,13,17,1
Aston Villa,Guest,7.3,2,1,1,2,2,0,1,0,0,0,1,7.0,2,1,1,1,0,1,0,2,1,1,0,Win,13,1,0
Brentford,Home,6.7,3,1,1,2,3,0,0,0,0,0,0,7.3,2,1,1,1,3,0,0,0,1,1,0,Lost,13,3,1
Arsenal,Guest,7.3,2,1,1,1,3,0,0,0,1,1,0,6.7,3,1,1,2,3,0,0,0,0,0,0,Win,13,0,0
Sheffiled utd,Home,6.5,3,0,0,1,2,2,1,0,0,0,1,7.3,2,1,1,1,0,1,0,2,1,1,0,Lost,13,16,1
Bournemouth,Guest,7.3,2,1,1,1,0,1,0,2,1,1,0,6.5,3,0,0,1,2,2,1,0,0,0,1,Win,13,2,0
Nottm forest,Home,6.6,2,1,1,1,0,2,0,1,1,1,0,6.9,2,1,1,1,0,1,0,2,1,1,0,Lost,13,15,1
Brighton,Guest,6.9,2,1,1,1,0,1,0,2,1,1,0,6.6,2,1,1,1,0,2,0,1,1,1,0,Win,13,4,0
Newcatle,Home,7.7,2,1,1,1,3,0,0,0,1,1,0,5.9,2,1,1,1,0,1,0,2,1,1,0,Win,13,14,1
Chelsea,Guest,5.9,2,1,1,1,0,1,0,2,1,1,0,7.7,2,1,1,1,3,0,0,0,1,1,0,Lost,13,6,0
Luton,Home,7.1,3,0,0,1,2,0,1,0,1,1,1,6.5,2,1,1,1,0,1,0,2,1,1,0,Win,13,11,1
Crystal palace,Guest,6.5,2,1,1,1,0,1,0,2,1,1,0,7.1,3,0,0,1,2,0,1,0,1,1,1,Lost,13,7,0
Burnley,Home,6.5,2,1,1,2,2,0,1,0,0,0,1,7.3,2,1,1,1,0,1,0,2,1,1,0,Lost,13,5,1
West ham,Guest,7.3,2,1,1,1,0,1,0,2,1,1,0,6.5,2,1,1,2,2,0,1,0,0,0,1,Win,13,18,0
Man city,Home,7.4,3,0,0,1,0,2,0,2,1,1,0,6.6,2,1,1,1,3,0,0,0,1,1,0,Draw,13,12,1
Liverpool,Guest,6.6,2,1,1,1,3,0,0,0,1,1,0,7.4,3,0,0,1,0,2,0,2,1,1,0,Draw,13,10,0
Arsenal,Home,7.3,2,1,1,1,3,0,0,0,1,1,0,6.6,3,0,0,2,3,0,1,0,0,0,1,Win,14,0,1
Wolves,Guest,6.6,3,0,0,2,3,0,1,0,0,0,1,7.3,2,1,1,1,3,0,0,0,1,1,0,Lost,14,19,0
Brentford,Home,7.3,2,1,1,1,3,0,0,0,1,1,0,6.4,3,0,0,1,2,2,1,0,0,0,1,Win,14,3,1
Luton,Guest,6.4,3,0,0,1,2,2,1,0,0,0,1,7.3,2,1,1,1,3,0,0,0,1,1,0,Lost,14,11,0
Burnley,Home,7.6,2,1,1,2,2,0,1,0,0,0,1,5.8,3,0,0,1,2,2,1,0,0,0,1,Win,14,5,1
Sheffiled utd,Guest,5.8,3,0,0,1,2,2,1,0,0,0,1,7.6,2,1,1,2,2,0,1,0,0,0,1,Lost,14,16,0
Nottm forest,Home,6.9,2,1,1,1,3,0,0,0,1,1,0,7.3,2,1,1,1,2,1,1,0,0,0,1,Lost,14,15,1
Everton,Guest,7.3,2,1,1,1,2,1,1,0,0,0,1,6.9,2,1,1,1,3,0,0,0,1,1,0,Win,14,8,0
Newcatle,Home,7.7,2,1,1,1,3,0,0,0,1,1,0,6.3,2,1,1,1,0,1,0,2,1,1,0,Win,14,14,1
Man utd,Guest,6.3,2,1,1,1,0,1,0,2,1,1,0,7.7,2,1,1,1,3,0,0,0,1,1,0,Lost,14,13,0
Bournemouth,Home,7.0,2,1,1,1,0,1,0,2,1,1,0,6.8,2,1,1,2,2,0,1,0,0,0,1,Draw,14,2,1
Aston Villa,Guest,6.8,2,1,1,2,2,0,1,0,0,0,1,7.0,2,1,1,1,0,1,0,2,1,1,0,Draw,14,1,0
Chelsea,Home,7.0,2,1,1,1,0,1,0,2,1,1,0,6.8,2,1,1,1,0,1,0,2,1,1,0,Win,14,6,1
Brighton,Guest,6.8,2,1,1,1,0,1,0,2,1,1,0,7.0,2,1,1,1,0,1,0,2,1,1,0,Lost,14,4,0
Liverpool,Home,7.2,2,1,1,1,3,0,0,0,1,1,0,6.6,2,1,1,1,0,1,0,2,1,1,0,Win,14,10,1
Fulham,Guest,6.6,2,1,1,1,0,1,0,2,1,1,0,7.2,2,1,1,1,3,0,0,0,1,1,0,Lost,14,9,0
West ham,Home,6.9,2,1,1,1,0,1,0,2,1,1,0,7.1,2,1,1,1,0,1,0,2,1,1,0,Draw,14,18,1
Crystal palace,Guest,7.1,2,1,1,1,0,1,0,2,1,1,0,6.9,2,1,1,1,0,1,0,2,1,1,0,Draw,14,7,0
Man city,Home,7.1,3,0,0,1,0,2,0,2,1,1,0,6.6,2,1,1,1,0,1,0,2,1,1,0,Draw,14,12,1
Tottenham,Guest,6.6,2,1,1,1,0,1,0,2,1,1,0,7.1,3,0,0,1,0,2,0,2,1,1,0,Draw,14,17,0
Wolves,Home,7.3,3,0,0,1,2,0,1,0,1,1,1,6.5,2,1,1,2,2,0,1,0,0,0,1,Win,15,19,1
Burnley,Guest,6.5,2,1,1,2,2,0,1,0,0,0,1,7.3,3,0,0,1,2,0,1,0,1,1,1,Lost,15,5,0
Luton,Home,6.8,3,0,0,1,2,0,1,0,1,1,1,7.0,2,1,1,1,3,0,0,0,1,1,0,Lost,15,11,1
Arsenal,Guest,7.0,2,1,1,1,3,0,0,0,1,1,0,6.8,3,0,0,1,2,0,1,0,1,1,1,Win,15,0,0
Brighton,Home,7.3,2,1,1,1,0,1,0,2,1,1,0,6.6,2,1,1,2,2,0,1,0,0,0,1,Win,15,4,1
Brentford,Guest,6.6,2,1,1,2,2,0,1,0,0,0,1,7.3,2,1,1,1,0,1,0,2,1,1,0,Lost,15,3,0
Crystal palace,Home,6.7,2,1,1,1,0,1,0,2,1,1,0,7.1,2,1,1,1,0,1,0,2,1,1,0,Lost,15,7,1
Bournemouth,Guest,7.1,2,1,1,1,0,1,0,2,1,1,0,6.7,2,1,1,1,0,1,0,2,1,1,0,Win,15,2,0
Fulham,Home,7.6,2,1,1,1,0,1,0,2,1,1,0,5.5,2,1,1,1,0,1,0,2,1,1,0,Win,15,9,1
Nottm forest,Guest,5.5,2,1,1,1,0,1,0,2,1,1,0,7.6,2,1,1,1,0,1,0,2,1,1,0,Lost,15,15,0
Sheffiled utd,Home,6.3,2,1,1,1,0,1,0,2,1,1,0,7.4,2,1,1,1,3,0,0,0,1,1,0,Lost,15,16,1
Liverpool,Guest,7.4,2,1,1,1,3,0,0,0,1,1,0,6.3,2,1,1,1,0,1,0,2,1,1,0,Win,15,10,0
Aston Villa,Home,7.6,2,1,1,1,2,1,1,0,0,0,1,6.5,3,0,0,1,0,2,0,2,1,1,0,Win,15,1,1
Man city,Guest,6.5,3,0,0,1,0,2,0,2,1,1,0,7.6,2,1,1,1,2,1,1,0,0,0,1,Lost,15,12,0
Man utd,Home,7.5,2,1,1,1,0,2,0,1,1,1,0,6.7,2,1,1,1,0,1,0,2,1,1,0,Win,15,13,1
Chelsea,Guest,6.7,2,1,1,1,0,1,0,2,1,1,0,7.5,2,1,1,1,0,2,0,1,1,1,0,Lost,15,6,0
Everton,Home,7.5,2,1,1,1,0,1,0,2,1,1,0,6.2,2,1,1,1,3,0,0,0,1,1,0,Win,15,8,1
Newcatle,Guest,6.2,2,1,1,1,3,0,0,0,1,1,0,7.5,2,1,1,1,0,1,0,2,1,1,0,Lost,15,14,0
Tottenham,Home,6.9,2,1,1,1,0,1,0,2,1,1,0,7.5,2,1,1,1,3,0,0,0,1,1,0,Lost,15,17,1
West ham,Guest,7.5,2,1,1,1,3,0,0,0,1,1,0,6.9,2,1,1,1,0,1,0,2,1,1,0,Win,15,18,0
Crystal palace,Home,6.6,2,1,1,1,3,0,0,0,1,1,0,7.2,2,1,1,1,3,0,0,0,1,1,0,Lost,16,7,1
Liverpool,Guest,7.2,2,1,1,1,3,0,0,0,1,1,0,6.6,2,1,1,1,3,0,0,0,1,1,0,Win,16,10,0
Brighton,Home,6.9,2,1,1,1,0,1,0,2,1,1,0,7.0,2,1,1,2,2,0,1,0,0,0,1,Draw,16,4,1
Burnley,Guest,7.0,2,1,1,2,2,0,1,0,0,0,1,6.9,2,1,1,1,0,1,0,2,1,1,0,Draw,16,5,0
Man utd,Home,6.4,2,1,1,1,0,1,0,2,1,1,0,7.6,2,1,1,1,0,1,0,2,1,1,0,Lost,16,13,1
Bournemouth,Guest,7.6,2,1,1,1,0,1,0,2,1,1,0,6.4,2,1,1,1,0,1,0,2,1,1,0,Win,16,2,0
Sheffiled utd,Home,7.2,2,1,1,1,0,2,0,1,1,1,0,6.6,2,1,1,1,3,0,0,0,1,1,0,Win,16,16,1
Brentford,Guest,6.6,2,1,1,1,3,0,0,0,1,1,0,7.2,2,1,1,1,0,2,0,1,1,1,0,Lost,16,3,0
Wolves,Home,6.7,3,0,0,1,2,0,1,0,1,1,1,7.0,3,0,0,2,3,0,1,0,0,0,1,Draw,16,19,1
Nottm forest,Guest,7.0,3,0,0,2,3,0,1,0,0,0,1,6.7,3,0,0,1,2,0,1,0,1,1,1,Draw,16,15,0
Aston Villa,Home,7.0,2,1,1,1,2,1,1,0,0,0,1,6.7,2,1,1,1,3,0,0,0,1,1,0,Win,16,1,1
Arsenal,Guest,6.7,2,1,1,1,3,0,0,0,1,1,0,7.0,2,1,1,1,2,1,1,0,0,0,1,Lost,16,0,0
Everton,Home,7.1,2,1,1,1,2,1,1,0,0,0,1,6.8,2,1,1,1,0,1,0,2,1,1,0,Win,16,8,1
Chelsea,Guest,6.8,2,1,1,1,0,1,0,2,1,1,0,7.1,2,1,1,1,2,1,1,0,0,0,1,Lost,16,6,0
Fulham,Home,7.7,2,1,1,1,0,1,0,2,1,1,0,5.9,2,1,1,1,2,1,1,0,0,0,1,Win,16,9,1
West ham,Guest,5.9,2,1,1,1,2,1,1,0,0,0,1,7.7,2,1,1,1,0,1,0,2,1,1,0,Lost,16,18,0
Luton,Home,6.5,3,1,1,1,2,0,1,0,0,0,1,7.4,2,1,1,1,3,0,0,0,1,1,0,Lost,16,11,1
Man city,Guest,7.4,2,1,1,1,3,0,0,0,1,1,0,6.5,3,1,1,1,2,0,1,0,0,0,1,Win,16,12,0
Tottenham,Home,7.7,2,1,1,1,0,1,0,2,1,1,0,6.4,2,1,1,1,3,0,0,0,1,1,0,Win,16,17,1
Newcatle,Guest,6.4,2,1,1,1,3,0,0,0,1,1,0,7.7,2,1,1,1,0,1,0,2,1,1,0,Lost,16,14,0
Nottm forest,Home,6.4,3,0,0,2,3,0,1,0,0,0,1,7.2,2,1,1,1,0,1,0,2,1,1,0,Lost,17,15,1
Tottenham,Guest,7.2,2,1,1,1,0,1,0,2,1,1,0,6.4,3,0,0,2,3,0,1,0,0,0,1,Win,17,17,0
Bournemouth,Home,7.3,2,1,1,1,0,1,0,2,1,1,0,6.7,3,0,0,1,2,2,1,0,0,0,1,Win,17,2,1
Luton,Guest,6.7,3,0,0,1,2,2,1,0,0,0,1,7.3,2,1,1,1,0,1,0,2,1,1,0,Lost,17,11,0
Chelsea,Home,7.6,2,1,1,1,0,1,0,2,1,1,0,6.4,2,1,1,1,0,2,0,1,1,1,0,Win,17,6,1
Sheffiled utd,Guest,6.4,2,1,1,1,0,2,0,1,1,1,0,7.6,2,1,1,1,0,1,0,2,1,1,0,Lost,17,16,0
Man city,Home,7.3,2,1,1,1,0,1,0,2,1,1,0,6.8,3,1,1,1,2,0,1,0,0,0,1,Draw,17,12,1
Crystal palace,Guest,6.8,3,1,1,1,2,0,1,0,0,0,1,7.3,2,1,1,1,0,1,0,2,1,1,0,Draw,17,7,0
Newcatle,Home,7.7,2,1,1,1,3,0,0,0,1,1,0,6.1,2,1,1,1,0,1,0,2,1,1,0,Win,17,14,1
Fulham,Guest,6.1,2,1,1,1,0,1,0,2,1,1,0,7.7,2,1,1,1,3,0,0,0,1,1,0,Lost,17,9,0
Burnley,Home,6.5,2,1,1,2,2,0,1,0,0,0,1,7.3,3,1,1,1,2,0,1,0,0,0,1,Lost,17,5,1
Everton,Guest,7.3,3,1,1,1,2,0,1,0,0,0,1,6.5,2,1,1,2,2,0,1,0,0,0,1,Win,17,8,0
Arsenal,Home,7.6,2,1,1,1,3,0,0,0,1,1,0,6.3,2,1,1,1,0,1,0,2,1,1,0,Win,17,0,1
Brighton,Guest,6.3,2,1,1,1,0,1,0,2,1,1,0,7.6,2,1,1,1,3,0,0,0,1,1,0,Lost,17,4,0
Brentford,Home,6.4,3,0,0,2,3,0,1,0,0,0,1,7.3,3,0,0,2,3,0,1,0,0,0,1,Lost,17,3,1
Aston Villa,Guest,7.3,3,0,0,2,3,0,1,0,0,0,1,6.4,3,0,0,2,3,0,1,0,0,0,1,Win,17,1,0
West ham,Home,7.7,2,1,1,1,3,0,0,0,1,1,0,6.4,3,0,0,1,2,0,1,0,1,1,1,Win,17,18,1
Wolves,Guest,6.4,3,0,0,1,2,0,1,0,1,1,1,7.7,2,1,1,1,3,0,0,0,1,1,0,Lost,17,19,0
Liverpool,Home,7.1,2,1,1,1,3,0,0,0,1,1,0,6.9,2,1,1,1,0,1,0,2,1,1,0,Draw,17,10,1
Man utd,Guest,6.9,2,1,1,1,0,1,0,2,1,1,0,7.1,2,1,1,1,3,0,0,0,1,1,0,Draw,17,13,0
Crystal palace,Home,7.0,2,1,1,1,3,0,0,0,1,1,0,6.8,2,1,1,1,0,1,0,2,1,1,0,Draw,18,7,1
Brighton,Guest,6.8,2,1,1,1,0,1,0,2,1,1,0,7.0,2,1,1,1,3,0,0,0,1,1,0,Draw,18,4,0
Aston Villa,Home,6.6,2,1,1,1,2,1,1,0,0,0,1,7.0,3,1,1,2,3,0,0,0,0,0,0,Draw,18,1,1
Sheffiled utd,Guest,7.0,3,1,1,2,3,0,0,0,0,0,0,6.6,2,1,1,1,2,1,1,0,0,0,1,Draw,18,16,0
West ham,Home,7.5,2,1,1,1,0,1,0,2,1,1,0,6.4,2,1,1,1,0,1,0,2,1,1,0,Win,18,18,1
Man utd,Guest,6.4,2,1,1,1,0,1,0,2,1,1,0,7.5,2,1,1,1,0,1,0,2,1,1,0,Lost,18,13,0
Fulham,Home,6.6,2,1,1,1,0,1,0,2,1,1,0,7.1,2,1,1,2,2,0,1,0,0,0,1,Lost,18,9,1
Burnley,Guest,7.1,2,1,1,2,2,0,1,0,0,0,1,6.6,2,1,1,1,0,1,0,2,1,1,0,Win,18,5,0
Luton,Home,7.0,3,0,0,1,2,2,1,0,0,0,1,6.8,2,1,1,1,3,0,0,0,1,1,0,Win,18,11,1
Newcatle,Guest,6.8,2,1,1,1,3,0,0,0,1,1,0,7.0,3,0,0,1,2,2,1,0,0,0,1,Lost,18,14,0
Nottm forest,Home,6.7,2,1,1,1,0,1,0,2,1,1,0,7.1,2,1,1,1,0,1,0,2,1,1,0,Lost,18,15,1
Bournemouth,Guest,7.1,2,1,1,1,0,1,0,2,1,1,0,6.7,2,1,1,1,0,1,0,2,1,1,0,Win,18,2,0
Tottenham,Home,7.4,2,1,1,1,0,1,0,2,1,1,0,6.7,2,1,1,1,0,1,0,2,1,1,0,Win,18,17,1
Everton,Guest,6.7,2,1,1,1,0,1,0,2,1,1,0,7.4,2,1,1,1,0,1,0,2,1,1,0,Lost,18,8,0
Liverpool,Home,6.9,2,1,1,1,3,0,0,0,1,1,0,7.0,2,1,1,1,3,0,0,0,1,1,0,Draw,18,10,1
Arsenal,Guest,7.0,2,1,1,1,3,0,0,0,1,1,0,6.9,2,1,1,1,3,0,0,0,1,1,0,Draw,18,0,0
Wolves,Home,7.1,3,0,0,1,2,0,1,0,1,1,1,6.5,2,1,1,2,2,0,1,0,0,0,1,Win,18,19,1
Chelsea,Guest,6.5,2,1,1,2,2,0,1,0,0,0,1,7.1,3,0,0,1,2,0,1,0,1,1,1,Lost,18,6,0
Man city,Home,7.7,2,1,1,1,0,2,0,1,1,1,0,6.5,3,0,0,2,3,0,1,0,0,0,1,Win,18,12,1
Brentford,Guest,6.5,3,0,0,2,3,0,1,0,0,0,1,7.7,2,1,1,1,0,2,0,1,1,1,0,Lost,18,3,0
Newcatle,Home,6.4,2,1,1,1,3,0,0,0,1,1,0,7.4,2,1,1,1,0,1,0,2,1,1,0,Lost,19,14,1
Nottm forest,Guest,7.4,2,1,1,1,0,1,0,2,1,1,0,6.4,2,1,1,1,3,0,0,0,1,1,0,Win,19,15,0
Bournemouth,Home,7.5,2,1,1,1,0,1,0,2,1,1,0,6.5,2,1,1,1,0,1,0,2,1,1,0,Win,19,2,1
Fulham,Guest,6.5,2,1,1,1,0,1,0,2,1,1,0,7.5,2,1,1,1,0,1,0,2,1,1,0,Lost,19,9,0
Sheffiled utd,Home,6.5,2,1,1,2,2,0,1,0,0,0,1,7.1,3,0,0,1,2,2,1,0,0,0,1,Lost,19,16,1
Luton,Guest,7.1,3,0,0,1,2,2,1,0,0,0,1,6.5,2,1,1,2,2,0,1,0,0,0,1,Win,19,11,0
Burnley,Home,6.6,2,1,1,2,2,0,1,0,0,0,1,7.3,2,1,1,1,3,0,0,0,1,1,0,Lost,19,5,1
Liverpool,Guest,7.3,2,1,1,1,3,0,0,0,1,1,0,6.6,2,1,1,2,2,0,1,0,0,0,1,Win,19,10,0
Man utd,Home,7.4,2,1,1,1,0,1,0,2,1,1,0,6.5,2,1,1,1,0,1,0,2,1,1,0,Win,19,13,1
Aston Villa,Guest,6.5,2,1,1,1,0,1,0,2,1,1,0,7.4,2,1,1,1,0,1,0,2,1,1,0,Lost,19,1,0
Brentford,Home,6.2,2,1,1,1,3,0,0,0,1,1,0,7.6,3,0,0,1,2,2,1,0,0,0,1,Lost,19,3,1
Wolves,Guest,7.6,3,0,0,1,2,2,1,0,0,0,1,6.2,2,1,1,1,3,0,0,0,1,1,0,Win,19,19,0
Chelsea,Home,7.1,2,1,1,1,0,1,0,2,1,1,0,6.9,2,1,1,1,3,0,0,0,1,1,0,Win,19,6,1
Crystal palace,Guest,6.9,2,1,1,1,3,0,0,0,1,1,0,7.1,2,1,1,1,0,1,0,2,1,1,0,Lost,19,7,0
Everton,Home,6.5,2,1,1,1,0,1,0,2,1,1,0,7.4,2,1,1,1,0,1,0,2,1,1,0,Lost,19,8,1
